File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
125	2.7408e-02	1.6643	9.5171e-02	2279.8427	2.0363
126	2.7591e-02	1.6727	9.6707e-02	2298.2212	2.0561
127	2.7581e-02	1.6628	9.5561e-02	2316.5997	2.0723
128	2.7936e-02	1.6649	9.7393e-02	2334.9781	2.0857
129	2.7704e-02	1.6652	9.6346e-02	2353.3566	2.0970
130	2.7823e-02	1.6636	9.6571e-02	2371.7351	2.1070
131	2.7636e-02	1.6816	9.7941e-02	2390.3462	2.1158
132	2.7409e-02	1.6762	9.6429e-02	2408.7247	2.1238
133	2.7541e-02	1.6703	9.6346e-02	2427.1031	2.1310
134	2.7367e-02	1.6755	9.6149e-02	2445.4816	2.1378
135	2.7610e-02	1.6739	9.7033e-02	2463.8601	2.1441
136	2.7011e-02	1.6778	9.5475e-02	2482.2385	2.1500
137	2.7291e-02	1.6711	9.5460e-02	2500.6170	2.1557
138	2.7160e-02	1.6861	9.6703e-02	2518.9955	2.1611
139	2.7682e-02	1.6772	9.7417e-02	2537.3740	2.1663
140	2.7527e-02	1.6777	9.6969e-02	2555.7524	2.1715
141	2.7885e-02	1.6715	9.7707e-02	2573.8983	2.1765
142	2.7657e-02	1.6772	9.7413e-02	2592.5094	2.1814
143	2.7443e-02	1.6734	9.6203e-02	2610.8879	2.1862
144	2.7622e-02	1.6794	9.7524e-02	2629.2663	2.1910
145	2.7564e-02	1.6682	9.5926e-02	2647.4122	2.1957
146	2.8090e-02	1.6736	9.8687e-02	2666.0233	2.2004
147	2.7362e-02	1.6779	9.6333e-02	2684.4017	2.2051
148	2.7298e-02	1.6815	9.6711e-02	2702.7802	2.2096
149	2.7968e-02	1.6674	9.7438e-02	2721.1587	2.2142
150	2.7866e-02	1.6862	9.9141e-02	2739.5372	2.2188
151	2.7737e-02	1.6823	9.8045e-02	2757.9156	2.2237
152	2.7808e-02	1.6814	9.8198e-02	2776.2941	2.2281
153	2.7472e-02	1.6942	9.7889e-02	2794.6726	2.2327
154	2.7726e-02	1.6928	9.9047e-02	2813.0510	2.2372
155	2.7803e-02	1.6898	9.8917e-02	2831.4295	2.2417
156	2.8198e-02	1.6729	9.8777e-02	2849.8080	2.2462
157	2.7732e-02	1.6829	9.7715e-02	2868.4191	2.2508
158	2.8550e-02	1.6887	1.0149e-01	2886.7976	2.2553
159	2.8603e-02	1.6880	1.0170e-01	2905.1760	2.2600
160	2.8788e-02	1.6841	1.0198e-01	2923.7872	2.2646
161	2.8548e-02	1.6852	1.0108e-01	2942.1656	2.2691
162	2.8692e-02	1.6905	1.0209e-01	2960.5441	2.2737
163	2.8694e-02	1.6842	1.0136e-01	2978.9226	2.2780
164	2.9330e-02	1.6719	1.0258e-01	2997.3010	2.2825
165	2.9621e-02	1.6817	1.0446e-01	3015.6795	2.2867
166	2.9727e-02	1.6725	1.0362e-01	3034.0580	2.2905
167	2.9755e-02	1.6676	1.0315e-01	3052.6691	2.2947
168	2.9577e-02	1.6713	1.0282e-01	3071.0476	2.2984
169	2.9967e-02	1.6596	1.0301e-01	3089.4260	2.3022
170	3.0522e-02	1.6624	1.0516e-01	3108.0371	2.3063
171	3.0263e-02	1.6713	1.0548e-01	3126.1830	2.3100
172	3.0469e-02	1.6653	1.0587e-01	3144.7941	2.3139
173	3.0865e-02	1.6591	1.0620e-01	3163.1725	2.3179
174	3.0341e-02	1.6761	1.0630e-01	3181.7837	2.3219
175	3.0334e-02	1.6759	1.0618e-01	3200.1621	2.3263
176	3.0209e-02	1.6667	1.0466e-01	3218.5406	2.3306
177	3.0341e-02	1.6609	1.0447e-01	3237.1517	2.3352
178	3.0770e-02	1.6619	1.0619e-01	3255.5302	2.3401
179	3.0265e-02	1.6673	1.0525e-01	3273.9086	2.3452
180	3.0078e-02	1.6639	1.0416e-01	3292.2871	2.3511
181	2.9936e-02	1.6539	1.0229e-01	3310.8982	2.3575
182	3.0381e-02	1.6618	1.0497e-01	3329.2767	2.3649
183	2.9980e-02	1.6679	1.0407e-01	3347.6551	2.3732
184	2.9823e-02	1.6684	1.0370e-01	3366.0336	2.3825
185	2.9591e-02	1.6629	1.0216e-01	3384.4121	2.3932
186	2.9465e-02	1.6679	1.0234e-01	3402.7905	2.4047
187	2.9748e-02	1.6639	1.0285e-01	3421.1690	2.4173
188	2.9544e-02	1.6696	1.0279e-01	3439.5475	2.4311
189	2.9339e-02	1.6650	1.0167e-01	3458.1586	2.4466
