Energy Loss (eV)	Intensity
1.551396484375000568e+02	1.034481981682061360e+03
1.552021484375000568e+02	1.034364299982250941e+03
1.552646484375000568e+02	1.034239245605474935e+03
1.553271484375000568e+02	1.034152437707155968e+03
1.553896484375000568e+02	1.034218901293211729e+03
1.554521484375000568e+02	1.034159060946383988e+03
1.555146484375000568e+02	1.034083847508292365e+03
1.555771484375000568e+02	1.034069666267170305e+03
1.556396484375000568e+02	1.034083157256161485e+03
1.557021484375000568e+02	1.034079184422354956e+03
1.557646484375000568e+02	1.033892193788477016e+03
1.558271484375000568e+02	1.033768202163240403e+03
1.558896484375000568e+02	1.033718764426497728e+03
1.559521484375000568e+02	1.033660719622994066e+03
1.560146484375000568e+02	1.033594238281256366e+03
1.560771484375000568e+02	1.033780171712246101e+03
1.561396484375000568e+02	1.033827318596123632e+03
1.562021484375000568e+02	1.033747356252965574e+03
1.562646484375000568e+02	1.033622336277823479e+03
1.563271484375000568e+02	1.033543568374177539e+03
1.563896484375000568e+02	1.033421422969940068e+03
1.564521484375000568e+02	1.033449269057771744e+03
1.565146484375000568e+02	1.033439259292146517e+03
1.565771484375000568e+02	1.033446300529717519e+03
1.566396484375000568e+02	1.033309734182653528e+03
1.567021484375000568e+02	1.033203632146668269e+03
1.567646484375000568e+02	1.033161901485565068e+03
1.568271484375000568e+02	1.033033747632582163e+03
1.568896484375000568e+02	1.032875536739471045e+03
1.569521484375000568e+02	1.032603154222899320e+03
1.570146484375000568e+02	1.032424707771076100e+03
1.570771484375000568e+02	1.032340438195437173e+03
1.571396484375000568e+02	1.032269896721124042e+03
1.572021484375000568e+02	1.032250921076000850e+03
1.572646484375000568e+02	1.032321130001190113e+03
1.573271484375000568e+02	1.032252612674604052e+03
1.573896484375000568e+02	1.032129913515039561e+03
1.574521484375000568e+02	1.032053153483079313e+03
1.575146484375000568e+02	1.032069991418093423e+03
1.575771484375000568e+02	1.032050282981185319e+03
1.576396484375000568e+02	1.032251573967217610e+03
1.577021484375000568e+02	1.032204030539778842e+03
1.577646484375000568e+02	1.032144429524745874e+03
1.578271484375000568e+02	1.032123509262553625e+03
1.578896484375000568e+02	1.032013257945674013e+03
1.579521484375000568e+02	1.032044827178036485e+03
1.580146484375000568e+02	1.031988876065347085e+03
1.580771484375000568e+02	1.031833947384002386e+03
1.581396484375000568e+02	1.031796135179930616e+03
1.582021484375000568e+02	1.031681051358316154e+03
1.582646484375000568e+02	1.031719898940584017e+03
1.583271484375000568e+02	1.031743764426497819e+03
1.583896484375000568e+02	1.031778588497283863e+03
1.584521484375000568e+02	1.031894004868022421e+03
1.585146484375000568e+02	1.031903315133765773e+03
1.585771484375000568e+02	1.031787180397733664e+03
1.586396484375000568e+02	1.031896539121691831e+03
1.587021484375000568e+02	1.032006289210470413e+03
1.587646484375000568e+02	1.031954852849793497e+03
1.588271484375000568e+02	1.031984313964850116e+03
1.588896484375000568e+02	1.031689634750835012e+03
1.589521484375000568e+02	1.031463799863879558e+03
1.590146484375000568e+02	1.031438396292028301e+03
1.590771484375000568e+02	1.031294228293685364e+03
1.591396484375000568e+02	1.031246312736748678e+03
1.592021484375000568e+02	1.031113139574461911e+03
1.592646484375000568e+02	1.030976629083813350e+03
1.593271484375000568e+02	1.030915752988879376e+03
1.593896484375000568e+02	1.030903239672117934e+03
1.594521484375000568e+02	1.030972746138145340e+03
1.595146484375000568e+02	1.030915506258884079e+03
1.595771484375000568e+02	1.031008397327776265e+03
1.596396484375000568e+02	1.031036424671526220e+03
1.597021484375000568e+02	1.030984848854764778e+03
1.597646484375000568e+02	1.030993515846952278e+03
1.598271484375000568e+02	1.030904082327184369e+03
1.598896484375000568e+02	1.030920291415133988e+03
1.599521484375000568e+02	1.030832797703604911e+03
1.600146484375000568e+02	1.030748908765394617e+03
1.600771484375000568e+02	1.030596985603107669e+03
1.601396484375000568e+02	1.030507313861275179e+03
1.602021484375000568e+02	1.030506858502018531e+03
1.602646484375000568e+02	1.030428827829078273e+03
1.603271484375000568e+02	1.030343438535754331e+03
1.603896484375000568e+02	1.030249338600858664e+03
1.604521484375000568e+02	1.030133460952302812e+03
1.605146484375000568e+02	1.030031153453486240e+03
1.605771484375000568e+02	1.030014989494561178e+03
1.606396484375000568e+02	1.030038245368732532e+03
1.607021484375000568e+02	1.030117995013619066e+03
1.607646484375000568e+02	1.030249600127255235e+03
1.608271484375000568e+02	1.030261954752610563e+03
1.608896484375000568e+02	1.030230222759831122e+03
1.609521484375000568e+02	1.030341052246100162e+03
1.610146484375000568e+02	1.030231008448751709e+03
1.610771484375000568e+02	1.030392020670579086e+03
1.611396484375000568e+02	1.030369564911819907e+03
1.612021484375000568e+02	1.030376667554457072e+03
1.612646484375000568e+02	1.030455873061677948e+03
1.613271484375000568e+02	1.030421199544276988e+03
1.613896484375000568e+02	1.030462124171408050e+03
1.614521484375000568e+02	1.030489301831800958e+03
1.615146484375000568e+02	1.030409970925077459e+03
1.615771484375000568e+02	1.030326285067478011e+03
1.616396484375000568e+02	1.030279073449343514e+03
1.617021484375000568e+02	1.030207061582629194e+03
1.617646484375000568e+02	1.030231144575645430e+03
1.618271484375000568e+02	1.030220916193188259e+03
1.618896484375000568e+02	1.030156453450527124e+03
1.619521484375000568e+02	1.030054495146786621e+03
1.620146484375000568e+02	1.029884455270484523e+03
1.620771484375000568e+02	1.029711411354765005e+03
1.621396484375000568e+02	1.029713070031374627e+03
1.622021484375000568e+02	1.029585075239707976e+03
1.622646484375000568e+02	1.029577495043211911e+03
1.623271484375000568e+02	1.029464087653889010e+03
1.623896484375000568e+02	1.029404896869087679e+03
1.624521484375000568e+02	1.029429182202894481e+03
1.625146484375000568e+02	1.029441263464731719e+03
1.625771484375000568e+02	1.029552035245034631e+03
1.626396484375000568e+02	1.029584066864944816e+03
1.627021484375000568e+02	1.029610714074343832e+03
1.627646484375000568e+02	1.029652926728226021e+03
1.628271484375000568e+02	1.029736425041435950e+03
1.628896484375000568e+02	1.029803514145366307e+03
1.629521484375000568e+02	1.029786874482132134e+03
1.630146484375000568e+02	1.029811893717454268e+03
1.630771484375000568e+02	1.029898468572449701e+03
1.631396484375000568e+02	1.029903186774982714e+03
1.632021484375000568e+02	1.029922639234144981e+03
1.632646484375000568e+02	1.029964847819016768e+03
1.633271484375000568e+02	1.029945379083812895e+03
1.633896484375000568e+02	1.029902456202657731e+03
