Energy Loss (eV)	Intensity
1.498125000000000284e+02	1.402065412764214443e+03
1.498750000000000284e+02	1.401882379646502613e+03
1.499375000000000284e+02	1.401031325437319083e+03
1.500000000000000284e+02	1.399584146068696555e+03
1.500625000000000284e+02	1.398450753097668894e+03
1.501250000000000284e+02	1.398002337304119465e+03
1.501875000000000284e+02	1.397729754783164481e+03
1.502500000000000284e+02	1.397182118258018818e+03
1.503125000000000284e+02	1.397061934311225741e+03
1.503750000000000284e+02	1.397654781728317630e+03
1.504375000000000284e+02	1.397629489044279808e+03
1.505000000000000284e+02	1.395887019565416722e+03
1.505625000000000284e+02	1.393301611743806006e+03
1.506250000000000284e+02	1.391324161329265053e+03
1.506875000000000284e+02	1.390252686019498469e+03
1.507500000000000284e+02	1.389701844638303101e+03
1.508125000000000284e+02	1.389421617073616517e+03
1.508750000000000284e+02	1.389345657730504172e+03
1.509375000000000284e+02	1.389774847508200992e+03
1.510000000000000284e+02	1.390354777355139504e+03
1.510625000000000284e+02	1.390364107165635460e+03
1.511250000000000284e+02	1.389131902992894993e+03
1.511875000000000284e+02	1.387379897048106386e+03
1.512500000000000284e+02	1.385896449366801562e+03
1.513125000000000284e+02	1.385161301157071193e+03
1.513750000000000284e+02	1.384725483463922501e+03
1.514375000000000284e+02	1.384560038629738756e+03
1.515000000000000284e+02	1.384712594410533256e+03
1.515625000000000284e+02	1.384925284211007238e+03
1.516250000000000284e+02	1.384036790246903593e+03
1.516875000000000284e+02	1.381862276808492425e+03
1.517500000000000284e+02	1.379771941713740489e+03
1.518125000000000284e+02	1.379527419210096241e+03
1.518750000000000284e+02	1.380780624453354221e+03
1.519375000000000284e+02	1.381355837395227354e+03
1.520000000000000284e+02	1.380142137481779628e+03
1.520625000000000284e+02	1.378429404928936947e+03
1.521250000000000284e+02	1.377798732211189190e+03
1.521875000000000284e+02	1.377439761160715534e+03
1.522500000000000284e+02	1.376246849558128361e+03
1.523125000000000284e+02	1.374771375979411005e+03
1.523750000000000284e+02	1.374430309743988118e+03
1.524375000000000284e+02	1.374785398984148287e+03
1.525000000000000284e+02	1.374588745421830708e+03
1.525625000000000284e+02	1.373529304436954590e+03
1.526250000000000284e+02	1.372184092975584463e+03
1.526875000000000284e+02	1.370781331359330807e+03
1.527500000000000284e+02	1.369469038219753429e+03
1.528125000000000284e+02	1.368849972599309012e+03
1.528750000000000284e+02	1.369265245900146965e+03
