Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.269652921468904765e+02	7.258476562500000000e+02	7.035228640058390965e+02	2.232479224416090346e+01
1.270902921468904765e+02	7.119667968750000000e+02	7.009093909564516025e+02	1.105740591854839749e+01
1.272152921468904765e+02	7.103593750000000000e+02	6.983081814600266171e+02	1.205119353997338294e+01
1.273402921468904765e+02	7.044335937500000000e+02	6.957191660053241549e+02	8.714427744675845133e+00
1.274652921468904765e+02	7.028417968750000000e+02	6.931422755427897755e+02	9.699521332210224500e+00
1.275902921468904765e+02	6.995937500000000000e+02	6.905774414810395001e+02	9.016308518960499896e+00
1.277152921468904765e+02	6.905664062500000000e+02	6.880245956833751961e+02	2.541810566624803869e+00
1.278402921468904765e+02	6.964843750000000000e+02	6.854836704643287248e+02	1.100070453567127515e+01
1.279652921468904765e+02	6.969042968750000000e+02	6.829545985862373527e+02	1.394969828876264728e+01
1.280902921468904765e+02	6.778242187500000000e+02	6.804373132558466750e+02	-2.613094505846675020e+00
1.282152921468904765e+02	6.825058593750000000e+02	6.779317481209442349e+02	4.574111254055765130e+00
1.283402921468904765e+02	6.756582031250000000e+02	6.754378372670204271e+02	2.203658579795728656e-01
1.284652921468904765e+02	6.649101562500000000e+02	6.729555152139594156e+02	-8.045358963959415632e+00
1.285902921468904765e+02	6.723437500000000000e+02	6.704847169127566531e+02	1.859033087243346927e+00
1.287152921468904765e+02	6.781347656250000000e+02	6.680253777422656185e+02	1.010938788273438149e+01
1.288402921468904765e+02	6.885839843750000000e+02	6.655774335059718396e+02	2.300655086902816038e+01
1.289652921468904765e+02	6.744687500000000000e+02	6.631408204287938588e+02	1.132792957120614119e+01
1.290902921468904765e+02	6.660996093750000000e+02	6.607154751539122799e+02	5.384134221087720107e+00
1.292152921468904765e+02	6.565468750000000000e+02	6.583013347396246218e+02	-1.754459739624621761e+00
1.293402921468904765e+02	6.619726562500000000e+02	6.558983366562281390e+02	6.074319593771861037e+00
1.294652921468904765e+02	6.634121093750000000e+02	6.535064187829278808e+02	9.905690592072119216e+00
1.295902921468904765e+02	6.613828125000000000e+02	6.511255194047714667e+02	1.025729309522853328e+01
1.297152921468904765e+02	6.587773437500000000e+02	6.487555772096092142e+02	1.002176654039078585e+01
1.298402921468904765e+02	6.393789062500000000e+02	6.463965312850814371e+02	-7.017625035081437090e+00
1.299652921468904765e+02	6.546621093750000000e+02	6.440483211156291645e+02	1.061378825937083548e+01
1.300902921468904765e+02	6.517675781250000000e+02	6.417108865795311203e+02	1.005669154546887967e+01
1.302152921468904765e+02	6.538847656250000000e+02	6.393841679459659417e+02	1.450059767903405827e+01
1.303402921468904765e+02	6.432441406250000000e+02	6.370681058720979308e+02	6.176034752902069158e+00
1.304652921468904765e+02	6.412187500000000000e+02	6.347626414001890680e+02	6.456108599810931992e+00
1.305902921468904765e+02	6.353964843750000000e+02	6.324677159547333076e+02	2.928768420266692374e+00
1.307152921468904765e+02	6.267656250000000000e+02	6.301832713396164536e+02	-3.417646339616453588e+00
1.308402921468904765e+02	6.315722656250000000e+02	6.279092497352985447e+02	3.663015889701455308e+00
1.309652921468904765e+02	6.294003906250000000e+02	6.256455936960214785e+02	3.754796928978521464e+00
1.310902921468904765e+02	6.271992187500000000e+02	6.233922461470380085e+02	3.806972602961991470e+00
1.312152921468904765e+02	6.138496093750000000e+02	6.211491503818655247e+02	-7.299541006865524650e+00
1.313402921468904765e+02	6.026777343750000000e+02	6.189162500595618894e+02	-1.623851568456188943e+01
1.314652921468904765e+02	6.141953125000000000e+02	6.166934892020246934e+02	-2.498176702024693441e+00
1.315902921468904765e+02	6.132910156250000000e+02	6.144808121913114292e+02	-1.189796566311429160e+00
1.317152921468904765e+02	6.203535156250000000e+02	6.122781637669844486e+02	8.075351858015551443e+00
1.318402921468904765e+02	6.142832031250000000e+02	6.100854890234755885e+02	4.197714101524411490e+00
1.319652921468904765e+02	6.109140625000000000e+02	6.079027334074743294e+02	3.011329092525670603e+00
1.320902921468904765e+02	6.070585937500000000e+02	6.057298427153369857e+02	1.328751034663014252e+00
1.322152921468904765e+02	6.054589843750000000e+02	6.035667630905168153e+02	1.892221284483184718e+00
1.323402921468904765e+02	6.082519531250000000e+02	6.014134410210173201e+02	6.838512103982679946e+00
1.324652921468904765e+02	5.987148437500000000e+02	5.992698233368638512e+02	-5.549795868638511820e-01
1.325902921468904765e+02	5.977558593750000000e+02	5.971358572075986331e+02	6.200021674013669326e-01
1.327152921468904765e+02	5.848691406250000000e+02	5.950114901397953417e+02	-1.014234951479534175e+01
1.328402921468904765e+02	5.970468750000000000e+02	5.928966699745935784e+02	4.150205025406421555e+00
1.329652921468904765e+02	5.960546875000000000e+02	5.907913448852553984e+02	5.263342614744601633e+00
1.330902921468904765e+02	5.834453125000000000e+02	5.886954633747404841e+02	-5.250150874740484142e+00
1.332152921468904765e+02	5.837988281250000000e+02	5.866089742733016692e+02	-2.810146148301669200e+00
1.333402921468904765e+02	5.850449218750000000e+02	5.845318267361004700e+02	5.130951388995299567e-01
1.334652921468904765e+02	5.832460937500000000e+02	5.824639702408420590e+02	7.821235091579410437e-01
1.335902921468904765e+02	5.826250000000000000e+02	5.804053545854299045e+02	2.219645414570095454e+00
1.337152921468904765e+02	5.811601562500000000e+02	5.783559298856388295e+02	2.804226364361170454e+00
1.338402921468904765e+02	5.837656250000000000e+02	5.763156465728079638e+02	7.449978427192036179e+00
1.339652921468904765e+02	5.867734375000000000e+02	5.742844553915526831e+02	1.248898210844731693e+01
1.340902921468904765e+02	5.748457031250000000e+02	5.722623073974941690e+02	2.583395727505831019e+00
1.342152921468904765e+02	5.646210937500000000e+02	5.702491539550088646e+02	-5.628060205008864614e+00
1.343402921468904765e+02	5.665742187500000000e+02	5.682449467349950964e+02	-1.670727984995096449e+00
1.344652921468904765e+02	5.644960937500000000e+02	5.662496377126590232e+02	-1.753543962659023236e+00
1.345902921468904765e+02	5.658593750000000000e+02	5.642631791653174105e+02	1.596195834682589521e+00
1.347152921468904765e+02	5.714921875000000000e+02	5.622855236702196180e+02	9.206663829780382002e+00
1.348402921468904765e+02	5.718632812500000000e+02	5.603166241023861858e+02	1.154665714761381423e+01
1.349652921468904765e+02	5.604726562500000000e+02	5.583564336324653823e+02	2.116222617534617711e+00
1.350902921468904765e+02	5.532675781250000000e+02	5.564049057246072607e+02	-3.137327599607260709e+00
1.352152921468904765e+02	5.506523437500000000e+02	5.544619941343553364e+02	-3.809650384355336428e+00
1.353402921468904765e+02	5.489238281250000000e+02	5.525276529065538398e+02	-3.603824781553839784e+00
1.354652921468904765e+02	5.460332031250000000e+02	5.506018363732740681e+02	-4.568633248274068137e+00
1.355902921468904765e+02	5.567871093750000000e+02	5.486844991517552899e+02	8.102610223244710141e+00
1.357152921468904765e+02	5.489023437500000000e+02	5.467755961423642930e+02	2.126747607635707027e+00
1.358402921468904765e+02	5.423554687500000000e+02	5.448750825265700541e+02	-2.519613776570054142e+00
1.359652921468904765e+02	5.306718750000000000e+02	5.429829137649348922e+02	-1.231103876493489224e+01
1.360902921468904765e+02	5.497734375000000000e+02	5.410990455951230160e+02	8.674391904876983972e+00
