Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.362152921468904765e+02	5.519042968750000000e+02	5.392234340299228279e+02	1.268086284507717210e+01
1.363402921468904765e+02	5.389882812500000000e+02	5.373560353552874176e+02	1.632245894712582412e+00
1.364652921468904765e+02	5.322011718750000000e+02	5.354968061283897214e+02	-3.295634253389721380e+00
1.365902921468904765e+02	5.353144531250000000e+02	5.336457031756932565e+02	1.668749949306743474e+00
1.367152921468904765e+02	5.299472656250000000e+02	5.318026835910379759e+02	-1.855417966037975930e+00
1.368402921468904765e+02	5.214921875000000000e+02	5.299677047337432896e+02	-8.475517233743289580e+00
1.369652921468904765e+02	5.310878906250000000e+02	5.281407242267237052e+02	2.947166398276294785e+00
1.370902921468904765e+02	5.290175781250000000e+02	5.263216999546209536e+02	2.695878170379046423e+00
1.372152921468904765e+02	5.202402343750000000e+02	5.245105900619518025e+02	-4.270355686951802454e+00
1.373402921468904765e+02	5.126367187500000000e+02	5.227073529512684900e+02	-1.007063420126848996e+01
1.374652921468904765e+02	5.198046875000000000e+02	5.209119472813357561e+02	-1.107259781335756088e+00
1.375902921468904765e+02	5.158222656250000000e+02	5.191243319653218578e+02	-3.302066340321857751e+00
1.377152921468904765e+02	5.176738281250000000e+02	5.173444661690032262e+02	3.293619559967737587e-01
1.378402921468904765e+02	5.121992187500000000e+02	5.155723093089841313e+02	-3.373090558984131349e+00
1.379652921468904765e+02	5.129277343750000000e+02	5.138078210509312385e+02	-8.800866759312384602e-01
1.380902921468904765e+02	5.119199218750000000e+02	5.120509613078202165e+02	-1.310394328202164616e-01
1.382152921468904765e+02	5.115976562500000000e+02	5.103016902381975228e+02	1.295966011802477169e+00
1.383402921468904765e+02	5.105839843750000000e+02	5.085599682444566270e+02	2.024016130543373038e+00
1.384652921468904765e+02	5.143339843750000000e+02	5.068257559711262275e+02	7.508228403873772550e+00
1.385902921468904765e+02	5.065625000000000000e+02	5.050990143031727939e+02	1.463485696827206084e+00
1.387152921468904765e+02	4.945507812500000000e+02	5.033797043643175471e+02	-8.828923114317547061e+00
1.388402921468904765e+02	4.992226562500000000e+02	5.016677875153643527e+02	-2.445131265364352657e+00
1.389652921468904765e+02	4.972675781250000000e+02	4.999632253525434180e+02	-2.695647227543418012e+00
1.390902921468904765e+02	5.095234375000000000e+02	4.982659797058661297e+02	1.125745779413387027e+01
1.392152921468904765e+02	5.084785156250000000e+02	4.965760126374936476e+02	1.190250298750635238e+01
1.393402921468904765e+02	4.988847656250000000e+02	4.948932864401185725e+02	3.991479184881427500e+00
1.394652921468904765e+02	4.968671875000000000e+02	4.932177636353587786e+02	3.649423864641221371e+00
1.395902921468904765e+02	4.873789062500000000e+02	4.915494069721637516e+02	-4.170500722163751561e+00
1.397152921468904765e+02	4.881835937500000000e+02	4.898881794252344548e+02	-1.704585675234454811e+00
1.398402921468904765e+02	4.985351562500000000e+02	4.882340441934543378e+02	1.030111205654566220e+01
1.399652921468904765e+02	4.933378906250000000e+02	4.865869646983335315e+02	6.750925926666468513e+00
1.400902921468904765e+02	4.853808593750000000e+02	4.849469045824643558e+02	4.339547925356441738e-01
1.402152921468904765e+02	4.871093750000000000e+02	4.833138277079903560e+02	3.795547292009644025e+00
1.403402921468904765e+02	4.781523437500000000e+02	4.816876981550853998e+02	-3.535354405085399776e+00
1.404652921468904765e+02	4.822734375000000000e+02	4.800684802204461334e+02	2.204957279553866556e+00
1.405902921468904765e+02	4.789648437500000000e+02	4.784561384157958059e+02	5.087053342041940596e-01
1.407152921468904765e+02	4.775468750000000000e+02	4.768506374663990641e+02	6.962375336009358762e-01
1.408402921468904765e+02	4.734707031250000000e+02	4.752519423095894240e+02	-1.781239184589423985e+00
1.409652921468904765e+02	4.699140625000000000e+02	4.736600180933074853e+02	-3.745955593307485287e+00
1.410902921468904765e+02	4.694062500000000000e+02	4.720748301746504012e+02	-2.668580174650401204e+00
1.412152921468904765e+02	4.706738281250000000e+02	4.704963441184331714e+02	1.774840065668286115e-01
1.413402921468904765e+02	4.734863281250000000e+02	4.689245256957607921e+02	4.561802429239207868e+00
1.414652921468904765e+02	4.723964843750000000e+02	4.673593408826112636e+02	5.037143492388736377e+00
