File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
171	2.1734e-02	2.0213	1.0008e-01	3126.1830	2.3100
172	2.1666e-02	2.0305	1.0078e-01	3144.7941	2.3139
173	2.1849e-02	2.0160	1.0012e-01	3163.1725	2.3179
174	2.2007e-02	2.0232	1.0160e-01	3181.7837	2.3219
175	2.1845e-02	2.0263	1.0110e-01	3200.1621	2.3263
176	2.1805e-02	2.0176	1.0005e-01	3218.5406	2.3306
177	2.1759e-02	2.0169	9.9705e-02	3237.1517	2.3352
178	2.1924e-02	2.0137	1.0021e-01	3255.5302	2.3401
179	2.1472e-02	2.0294	9.9652e-02	3273.9086	2.3452
180	2.1269e-02	2.0268	9.8476e-02	3292.2871	2.3511
181	2.1399e-02	2.0154	9.7955e-02	3310.8982	2.3575
182	2.1465e-02	2.0243	9.8995e-02	3329.2767	2.3649
183	2.1551e-02	2.0219	9.9184e-02	3347.6551	2.3732
184	2.1357e-02	2.0246	9.8575e-02	3366.0336	2.3825
185	2.1211e-02	2.0243	9.7859e-02	3384.4121	2.3932
186	2.1135e-02	2.0239	9.7595e-02	3402.7905	2.4047
187	2.1107e-02	2.0244	9.7311e-02	3421.1690	2.4173
188	2.1138e-02	2.0212	9.7210e-02	3439.5475	2.4311
189	2.1010e-02	2.0264	9.7191e-02	3458.1586	2.4466
190	2.0622e-02	2.0206	9.4745e-02	3476.5371	2.4633
191	2.0978e-02	2.0321	9.7715e-02	3494.9155	2.4818
192	2.0194e-02	2.0120	9.2193e-02	3513.2940	2.5024
193	2.0677e-02	2.0110	9.4145e-02	3531.9051	2.5258
194	2.0248e-02	2.0221	9.3121e-02	3550.2836	2.5517
195	2.0323e-02	2.0205	9.3397e-02	3568.8947	2.5822
196	2.0080e-02	2.0270	9.2780e-02	3587.2731	2.6170
197	2.0486e-02	2.0136	9.3703e-02	3605.8842	2.6585
198	2.0503e-02	2.0142	9.3701e-02	3624.2627	2.7081
199	2.0053e-02	2.0212	9.2179e-02	3642.6412	2.7696
200	2.0487e-02	2.0299	9.5175e-02	3661.2523	2.8442
201	2.0341e-02	2.0213	9.3759e-02	3679.6308	2.9211
202	2.0378e-02	2.0341	9.5125e-02	3698.1242	2.5645
203	2.0011e-02	2.0140	9.1445e-02	3716.5027	1.9329
204	1.9701e-02	2.0352	9.1821e-02	3735.1138	1.8835
205	1.9916e-02	2.0274	9.2075e-02	3753.4922	1.8887
206	1.9632e-02	2.0281	9.0810e-02	3771.8707	1.8932
207	2.0229e-02	2.0365	9.4413e-02	3790.4818	1.8958
208	1.9735e-02	2.0425	9.2582e-02	3808.8603	1.8969
209	1.9905e-02	2.0325	9.2506e-02	3827.2387	1.8976
210	2.0309e-02	2.0386	9.5160e-02	3845.6172	1.8977
211	1.9726e-02	2.0392	9.2269e-02	3863.9957	1.8978
212	1.9903e-02	2.0416	9.3268e-02	3882.3741	1.8978
213	1.9559e-02	2.0494	9.2342e-02	3900.7526	1.8978
214	1.9591e-02	2.0353	9.1144e-02	3919.1311	1.8977
215	1.9649e-02	2.0385	9.1675e-02	3937.5095	1.8976
216	1.9674e-02	2.0492	9.2587e-02	3955.8880	1.8973
217	1.9854e-02	2.0411	9.2838e-02	3974.0338	1.8968
218	1.9769e-02	2.0390	9.2439e-02	3992.4123	1.8963
219	1.9586e-02	2.0373	9.1453e-02	4010.7908	1.8958
220	1.9556e-02	2.0385	9.1379e-02	4029.1692	1.8953
221	1.9561e-02	2.0592	9.3230e-02	4047.3151	1.8946
222	1.9634e-02	2.0395	9.2010e-02	4065.6935	1.8937
223	1.9585e-02	2.0448	9.1987e-02	4084.0720	1.8929
224	1.9632e-02	2.0410	9.2062e-02	4102.4505	1.8919
225	1.9621e-02	2.0426	9.1816e-02	4120.8289	1.8909
226	1.9424e-02	2.0435	9.1049e-02	4138.9748	1.8898
