	0	1	2	3	4	5	6	7	8	9	10
1033	17.0	1.0	1320.000366653985	-0.00026068893816404875	-0.018769580380770066	-0.1875	2.2140774726867676	12.0	-0.018769580380770076	0.0	-0.0004155735659878701
1034	17.0	1.0	1325.0003665276745	-0.0002606890929390987	-0.019030269473709165	-0.1875	2.2139055728912354	12.0	-0.019030269473709175	0.0	-0.00041554158087819815
1035	17.0	1.0	1330.0003664013639	-0.0002606893678539329	-0.019290958841563097	-0.1875	2.2137339115142822	12.0	-0.019290958841563108	0.0	-0.00041550977039150894
1036	17.0	1.0	1335.0003662750532	-0.00026068566089620194	-0.0195516445024593	-0.1875	2.21356201171875	12.0	-0.01955164450245931	0.0	-0.00041547161526978016
1037	17.0	1.0	1340.0003661487426	-0.0002606832957375381	-0.01981232779819684	-0.1875	2.2133522033691406	12.0	-0.01981232779819685	0.0	-0.00041542842518538237
1038	17.0	1.0	1345.000366022432	-0.00026069178128987553	-0.020073019579486713	-0.1875	2.213123083114624	12.0	-0.020073019579486727	0.0	-0.0004153989430051297
1039	17.0	1.0	1350.0003658961214	-0.0002606884427451425	-0.020333708022231858	-0.1875	2.212951183319092	12.0	-0.020333708022231868	0.0	-0.00041536136996001005
1040	17.0	1.0	1355.0003657698107	-0.0002606854732293222	-0.020594393495461178	-0.1875	2.2128939628601074	12.0	-0.020594393495461192	0.0	-0.0004153459158260375
1041	17.0	1.0	1360.0003656435001	-0.00026068917836248877	-0.020855082673823667	-0.1875	2.2125885486602783	12.0	-0.02085508267382368	0.0	-0.0004152944893576205
1042	17.0	1.0	1365.0003655171895	-0.00026068436532302033	-0.02111576703914669	-0.1875	2.212416887283325	12.0	-0.0211157670391467	0.0	-0.0004152545880060643
1043	17.0	1.0	1370.0003653908789	-0.0002606865087615119	-0.0213764535479082	-0.1875	2.2123022079467773	12.0	-0.021376453547908212	0.0	-0.00041523651452735066
1044	17.0	1.0	1375.0003652645682	-0.0002606884849195679	-0.021637142032827766	-0.1875	2.2121496200561523	12.0	-0.02163714203282778	0.0	-0.0004152109904680401
1045	17.0	1.0	1380.0003651382576	-0.0002606882566370898	-0.02189783028946486	-0.1875	2.211958646774292	12.0	-0.02189783028946487	0.0	-0.00041517478530295193
1046	17.0	1.0	1385.000365011947	-0.0002606845863974757	-0.022158514875862335	-0.1875	2.211806058883667	12.0	-0.022158514875862345	0.0	-0.00041514032636769116
1047	17.0	1.0	1390.0003648856364	-0.00026068953708973194	-0.022419204412952067	-0.1875	2.211519718170166	12.0	-0.022419204412952077	0.0	-0.00041509445873089135
1048	17.0	1.0	1395.0003647593257	-0.00026068829266147483	-0.02267989270561354	-0.1875	2.2114815711975098	12.0	-0.02267989270561355	0.0	-0.00041508532012812793
1049	17.0	1.0	1400.0003646330151	-0.00026068860704369013	-0.02294058131265723	-0.1875	2.211386203765869	12.0	-0.022940581312657242	0.0	-0.0004150679160375148
1050	17.0	1.0	1405.0003645067045	-0.00026069086733625994	-0.02320127217999349	-0.1875	2.211348056793213	12.0	-0.0232012721799935	0.0	-0.00041506433626636863
1051	17.0	1.0	1410.0003643803939	-0.0002606921027931902	-0.02346196428278668	-0.1875	2.211042642593384	12.0	-0.02346196428278669	0.0	-0.0004150089807808399
1052	17.0	1.0	1415.0003642540833	-0.0002606962322915594	-0.02372266051507824	-0.1875	2.2108325958251953	12.0	-0.02372266051507825	0.0	-0.00041497612255625427
1053	17.0	1.0	1420.0003641277726	-0.0002606976353774468	-0.023983358150455686	-0.1875	2.2108325958251953	12.0	-0.023983358150455696	0.0	-0.00041497836355119944
1054	17.0	1.0	1425.000364001462	-0.00026069599701215824	-0.024244054147467844	-0.1875	2.2105653285980225	12.0	-0.024244054147467855	0.0	-0.0004149255983065814
1055	17.0	1.0	1430.0003638751514	-0.00026069416414284044	-0.024504748311610685	-0.1875	2.210469961166382	12.0	-0.024504748311610695	0.0	-0.0004149047890678048
1056	17.0	1.0	1435.0003637488408	-0.00026069747001346614	-0.02476544578162415	-0.1875	2.210374593734741	12.0	-0.024765445781624162	0.0	-0.00041489212890155613
1057	17.0	1.0	1440.0003636225301	-0.0002606953865157233	-0.025026141168139875	-0.1875	2.2102599143981934	12.0	-0.025026141168139886	0.0	-0.00041486730333417654
1058	17.0	1.0	1445.0003634962195	-0.00026069296463082235	-0.0252868341327707	-0.1875	2.2101073265075684	12.0	-0.02528683413277071	0.0	-0.0004148348234593868
1059	17.0	1.0	1450.0003633699089	-0.0002606945526715782	-0.025547528685442276	-0.1875	2.2100119590759277	12.0	-0.025547528685442286	0.0	-0.0004148194275330752
1060	17.0	1.0	1455.0003632435983	-0.00026069397780795894	-0.025808222663250235	-0.1875	2.2098591327667236	12.0	-0.025808222663250245	0.0	-0.0004147898289375007
1061	17.0	1.0	1460.0003631172876	-0.000260693871487346	-0.02606891653473758	-0.1875	2.2098400592803955	12.0	-0.026068916534737592	0.0	-0.0004147860745433718
1062	17.0	1.0	1465.000362990977	-0.0002606978932039605	-0.02632961442794154	-0.1875	2.209649085998535	12.0	-0.02632961442794155	0.0	-0.00041475665057078004
1063	17.0	1.0	1470.0003628646664	-0.0002606957840282056	-0.026590310211969746	-0.1875	2.20949649810791	12.0	-0.026590310211969757	0.0	-0.00041472463635727763
1064	17.0	1.0	1475.0003627383558	-0.0002606922254314025	-0.02685100243740115	-0.1875	2.209439277648926	12.0	-0.02685100243740116	0.0	-0.0004147082509007305
1065	17.0	1.0	1480.0003626120451	-0.00026069173360781535	-0.027111694171008966	-0.1875	2.2092292308807373	12.0	-0.027111694171008973	0.0	-0.0004146680294070393
1066	17.0	1.0	1485.0003624857345	-0.00026068954478287033	-0.027372383715791836	-0.1875	2.2091147899627686	12.0	-0.027372383715791843	0.0	-0.0004146430583205074
1067	17.0	1.0	1490.000362359424	-0.00026068919575214386	-0.027633072911543977	-0.1875	2.2090766429901123	12.0	-0.027633072911543988	0.0	-0.00041463534580543637
1068	17.0	1.0	1495.0003622331133	-0.0002606873425924116	-0.02789376025413639	-0.1875	2.2088475227355957	12.0	-0.0278937602541364	0.0	-0.0004145893908571452
1069	17.0	1.0	1500.0003621068026	-0.00026068760337432225	-0.02815444785751071	-0.1875	2.208752155303955	12.0	-0.02815444785751072	0.0	-0.00041457192855887115
1070	17.0	1.0	1505.000361980492	-0.0002606860215092699	-0.028415133879019984	-0.1875	2.208733081817627	12.0	-0.02841513387901999	0.0	-0.00041456581675447524
1071	17.0	1.0	1510.0003618541814	-0.0002606888796057966	-0.02867582275862578	-0.1875	2.2085421085357666	12.0	-0.028675822758625787	0.0	-0.0004145345010329038
1072	17.0	1.0	1515.0003617278708	-0.00026069313878566026	-0.02893651589741144	-0.1875	2.208618402481079	12.0	-0.028936515897411447	0.0	-0.0004145556013099849
1073	17.0	1.0	1520.0003616015601	-0.0002606938432860706	-0.02919720974069751	-0.1875	2.208446741104126	12.0	-0.02919720974069752	0.0	-0.00041452451841905713
1074	17.0	1.0	1525.0003614752495	-0.0002606989817859398	-0.02945790872248345	-0.1875	2.208446741104126	12.0	-0.02945790872248346	0.0	-0.000414532667491585
1075	17.0	1.0	1530.000361348939	-0.00026069917832232184	-0.02971860790080577	-0.1875	2.2082557678222656	12.0	-0.02971860790080578	0.0	-0.0004144971608184278
1076	17.0	1.0	1535.0003612226283	-0.000260692580871284	-0.029979300481677056	-0.1875	2.208160400390625	12.0	-0.029979300481677067	0.0	-0.00041446875547990203
1077	17.0	1.0	1540.0003610963176	-0.0002606898200801677	-0.030239990301757225	-0.1875	2.2080841064453125	12.0	-0.030239990301757235	0.0	-0.0004144500708207488
1078	17.0	1.0	1545.000360970007	-0.00026069041147662534	-0.03050068071323385	-0.1875	2.2080078125	12.0	-0.03050068071323386	0.0	-0.00041443665395490825
1079	17.0	1.0	1550.0003608436964	-0.00026068906930420136	-0.03076136978253805	-0.1875	2.2077786922454834	12.0	-0.030761369782538062	0.0	-0.00041439151391386986
1080	17.0	1.0	1555.0003607173858	-0.0002606887391962939	-0.031022058521734345	-0.1875	2.2077786922454834	12.0	-0.031022058521734355	0.0	-0.00041439099004492164
1081	17.0	1.0	1560.0003605910752	-0.0002606931008522709	-0.03128275162258661	-0.1875	2.2076833248138428	12.0	-0.031282751622586626	0.0	-0.00041438001790083945
1082	17.0	1.0	1565.0003604647645	-0.00026069207913594116	-0.03154344370172255	-0.1875	2.207568645477295	12.0	-0.031543443701722566	0.0	-0.00041435688035562634
1083	17.0	1.0	1570.000360338454	-0.000260694664383928	-0.03180413836610648	-0.1875	2.2074732780456543	12.0	-0.031804138366106495	0.0	-0.0004143431142438203
1084	17.0	1.0	1575.0003602121433	-0.0002606887914985418	-0.03206482715760502	-0.1875	2.20741605758667	12.0	-0.03206482715760504	0.0	-0.00041432303260080516
1085	17.0	1.0	1580.0003600858327	-0.00026068249447147053	-0.0323255096520765	-0.1875	2.2073588371276855	12.0	-0.032325509652076506	0.0	-0.0004143022815696895
1086	17.0	1.0	1585.000359959522	-0.0002606812489918537	-0.03258619090106835	-0.1875	2.2073206901550293	12.0	-0.03258619090106836	0.0	-0.0004142931429669261
1087	17.0	1.0	1590.0003598332114	-0.0002606873489924603	-0.03284687825006081	-0.1875	2.207129716873169	12.0	-0.03284687825006082	0.0	-0.0004142669786233455
1088	17.0	1.0	1595.0003597069008	-0.00026068790395226743	-0.03310756615401308	-0.1875	2.206976890563965	12.0	-0.03310756615401309	0.0	-0.0004142391844652593
1089	17.0	1.0	1600.0003595805902	-0.0002606859442450934	-0.03336825209825817	-0.1875	2.2068052291870117	12.0	-0.03336825209825819	0.0	-0.0004142038233112544
